MET 557 | Physical Oceanography | E Quansah = MPhil Meteo(0)
CSM 273 | Linear & Numerical Algebra | B Barnes = CS2 Regular(190), CS2 Parallel(54)
ENVS 453 | Water & Wastewater Treatment | JN Hogarh = ES4(81),FST4(11)
ACTS 565 | Survival and Stochastic Models | YE Ayekple = MPhil AS(7)
OPT 615 | Advanced Ocular Pathology | SY Lartey = OD6(39)
CHEM 169 | Practical Chemistry I | MA Nkansah = C1(203)
CHEM 457 | Introduction to Medicinal Chemistry | JK Mensah = C4(70)
CSM 491 | Graph Theory & its Applications | JK Panford = CS4 Regular(104),CS4 Parallel(12)
CHEM 357 | Nuclear Chemistry | MA Nkansah = C3(195)
LAW 363 | Environmental Law I | C Nyinevi = ES3(120)
MATH 483 | Stability Theory of Dynamical Systems | N/A = M4(36)
STAT 471 | Applied Time Series | NK Frempong = ST4(14)
MATH 177  Computing for Mathematics | EDJ Owusu-Ansah = M1(160),AS1(89),ST1(216)
PHY 255 | Thermodynamics | RK Nkum = P2(152),MET2(51)
CSM 387 | Data Structures I | D Asamoah = CS3 Regular(139),CS3 Parallel(31)
GEOG 463 | Environmental Management I | P Antwi-Agyei = MET4(29)
ENVS 451 | Environmental Management I | P Antwi-Agyei = ES4(81)
CHEM 541 | Surface Chemistry and Catalysis | JAM Awudza = MPHil CC(1)
PST 503 | Polymers as Materials | M Badu = MPhil PST(1)
CHEM 533 | Organic Synthesis | S Osafo-Acquaah = MPhil ONPC(2)
BCHEM 573 | Fermentation & Enzyme Technology I | J Adubofuor = MSc Biotech(3)
MATH 509 | Optimal Control Theory I | FT Oduro = MPhil AM(9)
BCHEM 551 | Recombinant DNA and Genetic Manipulation | P Twumasi = MPhil Biochem(6)
BIOL 509 | Principles of Environmental Management | IK Tetteh = MPhil ES(8)
FTECH 555 | Advanced Food Engineering | EA Amankwah/KO Falade = MPhil FST(4)
CSM 555 | Operating System Design | JK Panford = MIT(16)
MIT 557 | Multimedia Systems and Applications | JK Panford = MIT(16)
BCHEM 471 | Immunology | VP Dzogbefia/JA Larbi/A Kwarteng = BC4(85),B3(319)
MATH 277 | Real Analysis I | JK Dontwi = ST2(302) || RK Boadi = M2(191) || YE Ayekple = AS2(154)
MATH 157 | Algebra | E Harris = BC1(246) || S Twumasi-Ankrah = OD1(82),B1(318)
CSM 165 | Discrete Mathematics for Computer Scientist I | RK Boadi = CS1(221)
MATH 175 | Vector and Mechanics | PR Nyarko = M1(160) || W Obeng-Denteh = AS1(89) || FT Oduro = ST1(216)
OPT 459 | Orthopics & Vision Therapy I | AK Mohammed = OD4(25)
CSM 497 | Expert Systems | N Ussiph = CS4 Regular(104),CS4 Parallel(12)
MATH 475 | Sample Survey Theory | SK Appiah = M4(25),AS4(30)
CSM 265 | Ethical & Legal Implications of Computing | KA Pabbi = CS2 Regular(190),CS2 Parallel(54)
FTECH 263 | Food Chemistry I | F Alemawor/HE Lutterodt/JK Agbenorhevi = FST2(52)
FTECH 585 | Food Chemistry | F Alemawor/HE Lutterodt/JK Agbenorhevi = MSc FST(9)
PHY 541 | Geology for Physicists | DD Wemegah = MPhil Geo(2)
CHEM 515 | Thermal & Electro Analytical Method | EE Kwansah-Ansah | MPhil EAC(1)
PST 505 | Polymerization Processes | JAM Awudza = MPhil PST(1)
CHEM 535 | Applied Organic Chemistry | S 0safo-Acquaah = MPhil ONPC(0)
MET 561 | Atmospheric Dynamics | LK Amekudzi = MPhil Meteo(0)
NUT 559 | Nutritional Anthropology | RA Annan = MPhil HND(12)
BCHEM 575 | Industrial Microbiology | HD Zakpa | MSc Biotech(3)
BCHEM 553 | Cell Physiology and Biochemistry I | FO Mensah = MPhil Biochem(5)
CSM 557 | Distributed Systems | M Asante = MPhil CS(8)
MSTAT 583 | Statistical Quality Control | AY Omari Sasu = MPhil MS(1)
MSTAT 587 | Non Parametric Methods | N/A = MPhil MS(1)
PHY 569 | Radiobiology | EK Addison = MPhil NP(0)
MIT 553 | Computer Organisation and Operating Systems | D Asamoah = MIT(16)
CHEM 269 | Practical Chemistry III | ES Agorku = C2(266)
OPT 363 | Neuro Anatomy | C Abaidoo = OD3(43)
STAT 363 | Demographic Statistics | K Oppong-Nkrumah = ST3(214)
ACTS 365  | Demographic Statistics | K Oppong-Nkrumah = AS3(90)
BCHEM 363 | Biochemical Engineering I | EA Amankwah = BC3(158)
FTECH 369 | Food Production Systems | J Sarkodie-Addo = FST3(87)
BCHEM 365 | Biophysics I | A Tetteh = B3(319)
CSM 393 | Operations Research I | C Sebil = CS3 Regular(139),CS3 Parallel(31)
STAT 469 | Operation Research I | C Sebil = ST4(60)
PHY 369 | Radiobiology I | EK Addison = P3(29)
PHY 373 | Programming with Web Applications I | RY Tamakloe = P3(27)
PHY 381 | Electronic Materials & Devices | I Nkrumah = P3(7)
PHY 387 | Introductory Geology | K Preko = P3(21)
MET 357 | Atmospheric Physics I | E Yamba = MET3(32)
LE 261 | Fundamentals of Planning | K Oppong-Nkrumah = ES2(255)
OPT 505 | Ocular Epidemology | DB Kumah = OD5(37)
OPT 611 | Pre & Post Surgical Co-Management | L Ampong = OD6(39)
BCHEM 487 | Microbial & Enzymes Biotechnology | VP Dzogbefia = FST4(2),BC4(16)
ENVS 151 | General Biology I | AA Sylverken = ES1(188)
ECON 463 | Environmental & Resource Economics I | JD Quartey = ES4(81)
OPT 457 | Contact Lens I | AS Ahmed = OD4(25)
BCHEM 465 | Medical Laboratory | FNK Arthur = BC4(50)
CHEM 155 | Basic Physical Chemistry I | G Darko = BC1(246),M1(110) || R Tia = C1(203),P1(87),MET1(76)
BIOL 157 | Biological Chemistry I | K Nsiah = B1(318),OD1(82)
BIOL 181 | Biology for Mathematicians | S Akyeampong/JA Larbi/L Ofori = ST1(216),M1(160)
FTECH 153 | Introduction to Food Science & Technology | WO Ellis/I Oduro = FST1(140)
LAW 151 | Law of Contract I | C Nyinevi = FST4(24)
PHY 463 | Health Physics | EK Addison = P4(37)
OPT 607 | Clinical Seminar | E Kobia-Acquaah = OD6(39)
ENVS 351 | Solid Waste Management | B Fei-Baffoe = ES3(120),FST2(0)
PHY 559 | Statistical Physics | EKK Abavare = MPhil SS(3)
FTECH 383 | Food Additives | J Barimah = FST3(87)
BCHEM 361 | Integrated Laboratory Methods I | SP Salifu = BC3(158)
MET 551 | Climate System in Sub-Saharan Africa | LK Amekudzi = MPhil Meteo(0)
ACTS 569 | Finance and Financial Reporting | J Gambrah = MPhil AS(7)
MATH 525 | General Topology | W Obeng-Denteh = MPhil PM(6)
BCHEM 585 | Industrial Biotechnology | HD Zakpa = MSc Biotech(10)
MATH 513 | Differential Equations | N/A = MPhil AM(10)
BIOL 505 | Environmental Pollution | B Fei-Baffoe = MPhil ES(8)
NUT 557 | Diet Therapy I | CA Appiah = MPhil HND(14)
FTECH 551 | Sensory Evaluation of Foods | JK Agbenorhevi/FD Wireko-Manu = MSc/MPhil FST(13)
ENVS 251 | Geochemistry | JN Hogarh = ES2(255)
PHY 371 | Object Oriented Programming with Java | FK Ampong = P3(7)
MET 353 | Satellite & Radar Meteorology I | LK Amekudzi = MET3(32)
CSM 251 | Introductory Electronics | FK Ampong = CS2 Regular(190),CS2 Parallel(54)
PHY 251 | Electronics I | FK Ampong = P2(152),MET2(51)
STAT 265 | Probability & Statistics II | SK Appiah = M2(191) || NK Frempong = AS2(154) || GA Okyere = ST2(302)
OPT 509 | Paediatrics | TM Pascal = OD5(37)
MATH 473 | Mathematical Economics | C Sebil = M4(60),AS4(110),ST4(30)
PHY 471 | Optoelectronics I | NK Nkum = P4(15)
PHY 479 | Gravity & Magnetic Prospecting Methods | A Menyeh = P4(7)
MET 459 | Tropical Climatology | C Yorke = MET4(29)
PHY 481 | Steel Technology & Corrosion Science | OA Nunoo = P4(6)
PHY 469 | Structured Programming with Matlab | E Yamba = P4(5)
CHEM 355 | Surface Chemistry & Phase Equilibria | R Tia = C3(195)
PST 511 | Practicals in Polymer Science Technology I | JAM Awudza/NO Boadi/M Badu = MPhil PST(1)
BIOL 255 | Vascular Plants | AK Apetorgbor = B2(254)
OPT 257 | Ophthalmic Optics I | NY Koomson = OD2(85)
CHEM 261 | Titrimetric Methods of Analysis | EE Kwansah-Ansah = C2(266)
